Protocol,Packet Type,Traffic Type,Attack Type,Attack Signature,Action Taken,Severity Level,Network Segment,Log Source,Source IP FirstOctet,Destination IP FirstOctet,City,Region,Browser,Operating System,Anomaly Score Category,Packet Length Category
1,1,1,1,1,2,2,2,0,183,205,35,26,0,2,2,1
2,0,2,2,0,2,0,2,0,89,180,221,7,0,1,1,0
2,0,1,1,1,1,1,1,1,157,7,11,6,0,0,3,2
2,1,0,0,1,2,0,0,0,123,22,289,1,0,2,1,3
0,0,0,2,0,2,0,2,0,185,107,29,25,1,3,3,0
1,0,2,1,0,0,0,1,0,195,50,294,15,0,2,0,2
0,1,2,2,0,1,2,2,0,221,36,72,22,0,2,3,1
0,0,0,2,1,0,1,0,1,86,19,120,21,0,2,1,0
1,0,0,2,1,2,2,1,0,70,204,308,23,0,3,1,0
0,1,2,1,0,1,0,1,1,201,13,125,20,0,3,1,2
2,0,2,1,0,0,1,1,1,61,155,27,9,0,2,1,0
0,0,0,0,0,1,1,1,1,46,218,102,0,0,3,0,1
2,1,0,1,0,2,1,2,0,38,190,250,26,0,3,0,0
2,1,2,1,1,2,0,0,1,27,46,283,21,1,3,0,1
2,1,1,2,1,0,2,2,1,86,92,35,0,0,3,2,0
0,0,2,1,0,2,1,0,0,29,178,170,8,0,3,0,2
2,0,0,1,1,2,1,1,0,168,170,233,9,0,2,2,1
1,1,2,2,1,1,1,0,0,221,174,44,22,0,1,3,1
1,0,2,1,0,1,1,2,1,199,159,240,18,1,1,3,3
0,1,2,1,0,0,0,1,1,44,71,101,8,0,1,2,3
0,0,1,2,0,2,1,0,1,107,38,290,26,0,1,0,0
0,0,0,1,0,0,1,0,0,118,31,314,15,0,2,0,0
2,1,0,1,0,1,2,1,0,76,42,75,7,0,2,2,2
1,1,0,0,0,0,2,0,0,148,125,111,17,0,2,1,0
2,0,2,2,1,2,0,0,1,130,165,277,25,1,1,0,0
0,1,1,2,0,2,2,1,0,100,154,169,10,0,1,0,0
2,0,2,2,1,0,2,2,0,88,64,311,21,0,2,1,0
1,1,2,2,1,2,2,1,0,149,77,66,14,0,3,2,2
2,0,0,2,1,2,1,0,1,160,214,235,8,0,3,1,0
0,0,2,1,1,2,2,2,1,75,149,242,22,1,1,0,0
2,0,1,0,0,1,0,2,0,169,171,104,19,0,1,3,2
1,0,2,1,0,0,2,2,1,92,72,179,4,0,2,1,1
0,1,2,2,1,1,0,2,1,129,197,296,6,0,3,1,0
0,1,2,1,0,1,2,1,1,60,218,240,8,0,2,0,3
0,1,1,1,1,1,1,2,1,172,21,123,8,0,3,3,2
2,0,0,2,0,1,2,1,0,57,117,57,14,0,1,0,0
1,1,2,2,1,0,2,2,0,144,121,69,4,0,2,1,3
0,1,1,0,1,1,1,2,1,217,197,241,23,0,3,3,1
0,0,0,2,1,1,2,2,0,205,64,221,27,1,3,3,2
1,0,2,0,0,1,0,2,0,216,183,227,8,0,3,2,1
0,0,0,1,0,0,1,2,1,62,216,247,21,0,2,2,1
1,1,0,1,1,1,1,2,1,59,74,27,7,0,2,3,1
1,0,2,1,1,1,1,0,1,174,107,50,17,1,3,1,0
0,0,1,2,0,0,1,2,0,43,41,50,0,0,2,0,0
0,1,1,0,0,2,1,1,1,140,117,249,21,0,2,3,0
2,1,2,1,0,0,1,0,1,144,109,48,12,1,1,3,1
2,1,0,1,0,2,1,1,1,206,81,171,8,0,3,3,0
0,0,0,0,0,2,0,0,0,123,110,249,18,0,2,1,1
1,0,1,2,1,0,0,1,0,164,98,57,9,0,2,0,2
1,0,0,0,0,2,0,0,0,90,68,198,13,0,0,0,1
2,0,1,0,1,0,0,2,0,24,146,230,12,0,3,1,1
0,0,2,0,1,1,2,0,1,194,147,166,23,0,0,2,1
1,1,0,0,1,2,0,1,0,123,218,186,26,0,3,2,0
1,0,1,2,0,1,0,0,0,72,105,206,9,0,2,3,2
2,1,0,1,0,1,2,1,0,192,9,86,26,0,3,2,0
1,0,1,1,1,2,0,0,0,175,78,234,18,1,1,3,1
0,1,2,2,0,1,2,1,0,52,144,47,5,0,2,3,2
2,1,2,1,0,2,2,2,1,46,202,209,27,0,2,1,2
2,1,2,0,1,0,2,1,0,55,207,237,4,0,2,1,0
2,0,0,1,1,0,1,1,1,158,47,295,12,0,3,0,1
0,0,1,2,1,1,2,0,0,205,204,136,1,0,2,2,1
1,1,0,2,1,0,2,1,0,73,73,240,17,0,3,1,2
0,0,2,0,0,1,1,2,1,139,193,77,22,1,1,1,1
2,0,1,2,0,2,2,1,1,50,18,263,14,0,3,1,0
2,1,2,0,0,1,1,2,1,215,157,139,11,0,3,3,3
2,1,1,1,0,0,1,0,0,194,206,176,1,0,2,2,0
1,1,1,0,0,1,1,0,1,51,48,298,18,0,1,2,1
0,0,0,1,0,2,1,2,0,36,33,224,27,0,3,0,3
2,0,0,2,0,2,1,2,0,63,145,234,18,0,1,0,0
2,1,1,2,0,1,0,0,0,196,215,91,19,0,3,2,3
2,0,2,2,1,1,1,2,1,45,31,284,26,0,2,3,0
0,1,2,1,1,2,0,2,1,46,55,314,25,0,1,3,3
2,1,0,0,0,0,0,1,0,123,91,111,5,0,2,0,2
0,0,1,2,0,0,2,2,0,87,116,229,4,0,3,3,1
0,0,0,1,0,2,1,0,0,89,206,83,9,0,3,1,1
1,1,0,2,0,1,2,1,1,175,59,216,7,0,3,1,0
2,0,1,0,1,2,1,1,0,31,5,281,1,0,2,2,3
0,0,1,2,0,1,0,0,0,158,150,187,23,1,3,1,1
0,0,1,0,1,2,2,0,0,124,47,2,10,0,3,3,1
0,1,2,1,1,1,0,0,1,10,117,156,14,0,1,1,0
0,1,1,0,1,2,0,2,0,187,152,130,10,0,2,3,0
0,1,2,1,1,2,0,1,0,159,34,210,9,0,3,2,1
2,0,2,1,1,2,1,1,0,88,21,260,1,0,3,3,1
2,0,0,0,1,2,1,1,1,125,19,179,13,0,2,3,2
1,0,0,0,1,1,2,0,0,104,136,138,26,0,3,3,1
0,1,0,0,1,1,1,2,0,209,46,281,14,0,2,1,2
2,0,0,1,0,1,0,1,1,202,158,146,21,1,3,0,0
0,1,1,0,0,2,0,1,1,56,49,107,3,1,1,0,3
2,1,0,0,1,1,0,0,0,52,7,210,24,0,2,3,2
0,0,1,1,1,2,0,2,0,212,3,197,24,0,2,1,0
1,0,2,2,0,0,2,0,0,69,9,7,25,0,2,3,2
1,1,1,1,1,2,1,2,0,58,110,269,14,0,2,1,2
1,1,2,0,1,0,2,0,1,203,56,74,23,0,3,0,1
0,0,2,0,1,0,0,1,0,26,85,174,2,0,3,1,0
2,1,2,1,0,1,1,2,0,223,91,123,26,1,1,1,2
2,1,2,0,0,1,1,2,0,44,74,20,5,1,3,1,1
1,0,0,2,0,2,1,0,1,79,121,142,23,0,2,3,0
2,0,2,0,1,2,0,0,1,187,100,307,18,1,1,3,1
0,1,1,0,1,0,1,0,0,152,8,75,26,0,2,2,0
2,1,1,2,0,1,2,0,1,134,50,235,3,0,1,3,0
1,0,1,2,1,0,1,2,1,210,43,196,14,0,3,2,1
0,1,1,0,0,1,1,2,1,220,11,182,23,0,2,1,1
0,1,1,1,1,2,0,0,1,39,109,100,9,0,2,0,1
2,1,0,1,0,2,2,0,0,197,71,70,22,0,3,2,3
0,1,0,1,1,0,1,0,0,14,75,198,13,0,1,1,1
1,0,0,0,1,0,1,0,1,157,111,196,6,0,3,3,1
1,0,0,2,0,1,1,2,0,160,204,138,26,0,2,3,1
2,0,2,0,1,1,1,2,1,208,116,26,12,1,1,3,1
0,0,1,0,1,2,0,0,0,21,188,272,0,0,1,0,2
1,1,1,1,1,1,1,2,0,104,12,105,5,0,3,1,0
0,0,1,2,0,2,0,1,0,181,5,61,11,0,2,3,1
0,1,1,1,1,1,0,2,0,183,157,251,8,0,1,2,0
1,1,1,0,0,1,0,1,1,74,138,50,17,0,3,3,1
2,0,0,1,0,1,1,1,0,147,7,244,8,0,3,2,0
2,1,0,2,1,1,1,1,0,102,184,8,15,0,3,2,1
1,1,0,2,1,0,1,0,0,30,55,100,19,0,3,1,2
1,1,2,0,0,0,1,1,1,147,182,92,10,0,2,1,1
1,0,0,2,0,1,0,0,0,205,47,312,10,0,3,1,1
2,0,2,0,0,2,2,2,1,182,31,273,9,0,3,2,3
1,1,1,1,0,0,0,1,1,206,171,204,8,0,2,1,3
1,1,0,0,0,2,1,0,1,190,143,181,0,0,2,1,1
1,0,0,2,1,0,1,2,0,175,175,26,23,0,2,3,3
2,1,1,2,0,0,2,1,1,215,49,171,1,0,2,1,0
2,1,2,0,1,1,1,2,1,142,64,183,10,1,1,2,1
0,1,0,0,0,2,1,2,1,121,156,309,17,0,3,1,2
1,0,0,2,0,0,1,0,1,88,122,91,21,1,1,0,0
0,1,1,0,0,2,1,1,0,95,110,72,23,1,1,2,3
1,0,0,2,0,2,0,1,0,62,216,297,21,0,3,3,1
1,0,0,0,1,2,1,2,1,192,34,141,11,0,1,0,1
1,0,1,1,0,0,1,0,1,198,152,29,22,1,3,2,0
2,0,2,1,1,2,0,2,0,110,165,126,5,0,0,3,0
0,1,2,1,0,2,1,0,0,199,109,57,27,0,2,1,0
2,0,0,2,1,0,0,2,0,205,82,190,3,0,3,0,3
1,1,1,2,1,0,0,1,0,133,91,148,8,0,3,1,0
2,0,0,2,0,2,2,2,0,166,87,164,19,0,3,3,1
1,1,0,0,0,1,1,1,1,133,115,285,5,0,3,2,1
2,0,1,2,1,2,0,0,0,12,65,294,13,0,3,0,1
2,0,1,1,1,2,1,2,1,190,6,26,0,0,3,2,0
2,1,2,1,0,2,2,0,1,183,156,254,9,0,2,3,0
1,0,1,1,1,1,0,1,0,122,84,241,20,0,1,2,0
2,1,2,2,1,0,1,1,0,168,6,0,18,1,3,0,2
2,0,1,0,1,0,2,2,0,20,90,159,3,0,2,3,2
1,1,1,0,1,2,2,1,0,131,162,120,25,0,2,3,0
0,1,2,1,1,1,1,0,1,59,194,95,15,0,2,3,1
2,0,1,1,1,2,2,1,0,212,17,191,9,0,3,0,1
2,1,2,1,1,2,2,1,1,170,122,94,1,1,1,1,1
2,0,1,1,1,0,0,2,0,107,40,49,4,1,3,1,0
2,0,1,2,1,1,0,1,0,52,222,128,27,1,3,3,3
2,1,2,1,1,0,1,0,0,186,131,188,17,0,3,3,0
0,0,2,0,1,1,0,2,0,124,169,214,15,0,3,2,0
1,0,0,2,0,0,1,1,1,84,145,234,9,0,3,3,0
1,1,0,1,1,1,1,0,1,61,171,26,26,0,2,2,3
2,0,1,1,1,0,2,1,0,220,54,240,4,0,3,2,0
1,1,0,2,0,2,2,1,1,109,80,195,11,0,3,0,0
1,1,0,1,0,1,0,1,0,212,13,32,9,0,2,2,0
2,0,2,2,1,1,1,1,1,162,160,29,19,0,3,3,0
2,0,2,1,0,2,1,1,1,161,51,284,4,0,3,0,2
1,1,1,0,0,1,1,2,1,169,26,161,9,0,2,3,1
1,1,1,0,1,2,0,2,1,24,139,191,6,0,3,0,3
2,0,1,1,1,0,0,0,1,205,106,65,2,0,3,3,2
0,1,1,1,1,0,1,2,0,201,62,81,26,0,3,0,1
0,0,2,1,1,1,1,2,1,11,115,235,17,0,2,2,0
1,1,0,0,1,2,1,1,1,200,86,163,16,0,2,3,0
0,1,0,0,0,0,0,0,1,99,76,175,27,0,3,0,2
1,1,2,0,0,1,0,2,1,170,186,69,20,0,1,2,1
2,1,2,2,1,0,2,2,0,124,6,16,5,0,3,1,0
0,0,2,1,0,2,0,1,0,137,16,271,16,1,3,0,2
0,0,2,0,0,0,1,0,0,95,175,25,24,0,1,3,1
0,1,2,2,1,2,2,1,0,78,14,232,14,1,1,3,1
2,0,1,2,1,0,2,1,0,90,199,133,26,0,2,1,3
1,0,1,0,1,1,0,0,0,53,120,253,23,0,3,3,2
1,0,2,0,1,2,1,0,1,47,108,42,23,0,2,3,1
0,1,1,0,0,1,2,1,0,98,29,219,20,0,2,1,0
0,1,1,2,0,1,0,0,1,221,206,71,5,0,1,0,1
1,1,1,0,0,2,2,2,0,95,52,264,20,0,3,3,3
1,0,1,2,0,1,1,1,0,116,197,39,7,1,3,1,2
2,1,1,2,0,2,0,0,1,147,88,6,1,0,3,2,0
0,0,1,1,0,2,1,0,0,12,122,275,12,0,3,2,2
2,1,1,1,1,0,0,2,0,108,199,279,20,1,1,3,2
2,1,1,2,1,0,2,2,1,107,186,207,3,0,3,2,1
1,1,2,2,1,2,1,2,1,88,66,242,2,0,2,2,1
1,0,0,1,0,0,0,1,0,133,12,308,13,0,2,0,2
1,0,0,1,0,1,1,0,0,17,20,221,4,1,3,1,1
1,0,0,2,1,1,2,1,0,106,78,38,15,0,1,3,3
1,0,2,1,0,2,2,1,1,43,57,125,1,0,2,3,0
2,1,2,2,1,1,1,0,0,49,31,227,7,0,3,2,1
1,1,1,1,0,1,2,0,1,99,153,41,19,0,0,3,0
1,1,2,0,1,0,0,2,1,215,202,255,3,0,2,3,2
0,0,0,0,0,1,1,2,1,202,201,87,14,0,3,1,3
0,0,2,1,1,2,1,0,1,218,22,132,14,0,3,2,0
1,1,1,2,0,0,1,2,0,54,81,196,13,0,0,3,1
0,0,1,2,1,2,1,2,0,35,5,10,4,0,1,1,0
1,0,1,0,0,0,0,1,1,122,70,194,1,0,2,3,0
2,1,0,1,0,2,1,1,1,56,3,102,17,0,3,3,1
1,0,2,0,1,1,2,0,0,92,157,234,0,0,3,2,0
0,1,2,0,1,2,1,2,1,172,163,55,5,0,3,1,2
2,0,0,2,1,2,2,2,0,20,219,110,11,0,3,3,1
0,1,1,0,1,1,1,0,0,108,56,290,4,1,3,1,1
0,0,1,1,0,1,0,1,0,195,48,100,7,0,3,2,2
0,0,0,2,0,0,1,2,0,64,155,2,9,0,0,1,1
1,1,1,1,0,2,2,1,0,160,65,129,16,0,0,2,2
0,1,1,2,0,2,0,1,0,52,42,264,17,0,2,2,2
2,0,2,2,0,1,0,1,1,184,158,188,10,0,3,0,1
2,1,2,0,0,0,2,1,1,216,22,111,9,0,2,1,2
1,0,1,1,1,0,1,0,0,22,73,279,17,1,3,1,0
1,1,2,2,1,2,0,2,0,28,161,182,10,0,3,2,2
0,1,2,0,1,2,0,2,0,122,192,98,5,0,3,0,0
0,0,2,1,0,1,0,0,0,117,60,247,27,0,2,3,1
2,0,1,0,1,0,0,1,1,116,15,267,17,1,1,3,3
1,0,2,1,0,0,1,1,0,141,202,181,11,0,2,3,2
1,0,2,2,0,1,1,0,1,39,21,232,0,0,1,2,0
1,1,0,0,0,1,0,2,1,166,43,236,12,1,1,2,0
0,1,0,2,0,2,1,0,1,7,73,15,14,0,2,0,1
1,0,2,1,0,0,1,0,1,115,128,163,4,1,1,1,0
2,1,1,0,0,1,1,0,0,185,43,118,25,1,3,3,1
2,1,1,1,0,1,2,1,1,168,123,177,5,0,2,2,0
0,0,2,1,1,2,0,1,1,39,85,275,17,0,2,3,3
1,0,0,0,0,1,0,1,0,164,202,10,18,0,3,0,3
0,1,0,2,0,0,0,1,1,199,205,124,4,1,1,1,2
2,1,1,2,0,2,0,1,1,60,146,274,18,0,1,3,3
0,0,2,1,0,1,0,1,1,79,218,153,17,0,2,0,1
0,0,1,2,0,1,0,1,0,21,107,244,21,0,3,2,0
1,0,0,0,1,2,0,1,1,16,152,150,8,0,0,3,0
0,0,2,1,1,1,0,2,0,68,13,110,26,0,2,3,1
1,1,0,0,0,2,1,1,1,173,102,292,6,1,1,2,2
0,1,1,1,1,2,2,0,1,154,213,173,7,0,1,1,1
2,0,0,0,0,1,2,0,0,68,120,44,21,0,3,0,2
2,1,2,2,0,0,2,1,0,71,51,264,15,1,3,0,0
1,0,0,0,0,0,2,2,0,119,213,123,13,1,3,2,0
0,0,0,2,1,0,1,0,0,63,82,202,26,0,2,3,1
1,0,2,1,1,2,0,2,0,1,16,238,18,0,3,3,0
2,0,1,2,1,1,2,2,1,61,194,167,4,0,1,2,0
2,0,0,2,1,0,0,0,0,81,100,43,18,0,3,2,3
1,0,1,1,0,1,1,1,0,32,150,234,21,0,2,3,1
1,1,1,2,1,1,0,0,1,155,200,175,18,0,3,3,0
2,0,2,1,0,2,0,2,0,143,61,119,25,0,2,2,2
0,0,1,2,0,0,1,0,0,168,103,301,9,0,0,2,1
0,0,1,1,0,0,1,1,0,87,178,110,17,1,1,2,1
0,1,2,1,0,1,0,2,0,170,107,153,26,1,1,0,3
1,0,1,0,0,1,1,0,0,190,202,193,9,0,1,2,1
0,0,1,1,0,0,1,1,0,30,3,166,23,0,3,3,3
2,1,0,0,1,0,0,0,1,92,118,189,5,0,3,1,0
1,0,1,0,0,2,2,2,0,204,196,200,0,0,1,3,2
2,1,2,1,0,2,2,1,1,151,25,29,1,1,3,0,1
0,0,0,1,0,1,1,1,1,115,191,191,24,1,1,2,0
1,0,2,2,0,2,0,2,1,61,54,286,25,0,1,1,1
0,1,1,1,1,1,0,1,1,143,10,55,5,0,2,2,2
1,1,1,0,1,1,1,1,1,24,214,198,17,0,3,2,0
1,1,0,1,1,2,2,0,0,154,142,136,16,0,2,1,0
1,0,2,2,1,1,0,0,0,79,174,247,19,1,3,1,3
0,0,0,2,1,1,1,0,0,68,55,300,22,0,3,2,1
1,1,2,1,0,1,1,2,1,202,34,113,16,0,3,2,2
0,1,2,1,0,0,1,1,0,200,28,65,7,0,3,0,1
0,1,0,1,1,0,0,1,1,6,4,91,15,0,2,3,1
0,1,0,2,0,2,1,1,1,193,46,169,15,1,1,1,3
0,0,0,2,0,0,2,2,0,113,166,270,25,0,3,3,1
0,1,1,0,1,0,2,2,0,199,178,120,15,0,0,3,2
2,1,0,2,0,2,1,1,1,165,217,93,15,0,2,1,3
1,1,1,1,1,2,0,2,0,159,38,222,22,0,2,1,0
1,1,0,1,1,1,0,1,0,40,52,63,2,0,3,3,2
0,0,2,1,1,0,0,1,0,61,215,161,22,1,3,3,0
1,1,2,2,1,0,1,1,1,179,168,98,14,0,3,2,1
2,1,1,1,1,0,2,0,1,179,131,270,27,0,1,3,0
2,0,1,1,0,2,0,0,0,55,79,77,16,0,3,2,0
2,1,0,0,1,1,0,2,0,216,220,28,23,0,3,1,1
1,1,2,2,1,1,1,0,1,145,70,11,9,0,2,2,2
1,0,1,1,1,0,0,1,0,204,213,228,13,0,1,2,2
2,0,1,1,1,1,0,1,0,117,47,271,16,0,3,0,1
2,0,0,2,0,1,0,1,1,44,161,77,19,0,3,2,0
1,1,1,2,1,0,1,2,0,184,121,107,26,0,1,2,0
2,1,2,2,0,0,0,0,1,37,138,30,7,0,1,2,0
2,1,1,0,0,2,2,2,1,172,125,86,11,0,2,1,2
2,1,2,2,0,1,2,2,0,119,18,288,19,0,3,0,0
2,1,1,1,1,1,2,0,0,64,125,285,23,0,1,3,1
1,1,2,2,0,2,2,1,0,70,204,180,8,0,3,2,0
0,1,0,0,0,0,0,0,0,96,60,224,14,1,1,2,0
0,0,0,0,1,2,0,2,0,126,39,131,18,0,3,3,3
2,0,0,1,1,2,2,1,0,53,146,8,23,0,2,3,1
2,0,0,2,1,0,1,1,1,61,47,212,11,0,1,1,0
1,1,0,1,1,1,2,1,1,93,25,200,18,1,1,3,0
0,1,0,1,0,0,2,0,0,94,18,198,22,0,3,3,0
2,1,2,1,0,1,0,1,0,9,158,129,7,1,1,2,0
2,0,1,1,0,1,1,0,0,1,136,16,23,0,3,0,2
2,1,2,1,1,1,1,0,0,177,110,212,20,1,1,0,2
1,0,2,0,0,1,0,2,0,68,61,0,2,0,3,1,3
0,0,2,0,0,0,2,2,1,107,79,214,23,0,0,3,0
1,1,0,2,1,0,2,1,1,174,55,213,24,0,2,3,0
2,0,0,2,1,0,1,1,1,25,188,139,10,0,1,1,3
0,0,2,2,0,2,0,0,0,22,164,253,3,0,2,2,2
1,0,2,2,1,1,2,1,1,195,63,80,14,0,2,1,3
1,1,2,0,1,0,0,1,0,124,92,94,7,0,2,1,0
0,0,0,1,1,0,1,2,0,204,92,307,7,0,2,2,1
0,1,1,0,0,1,0,2,1,70,177,80,1,0,2,3,1
1,1,2,0,0,2,1,0,0,74,123,27,2,0,3,2,1
2,1,0,0,1,0,0,1,1,213,47,294,12,0,2,3,3
2,1,2,2,1,0,2,2,1,83,5,39,14,0,0,0,0
1,1,2,1,1,1,1,1,1,43,75,10,15,0,2,0,2
1,0,2,1,1,2,0,0,1,53,198,62,10,0,0,1,2
1,1,0,2,0,2,1,1,0,90,27,80,5,0,3,3,1
0,1,2,1,1,2,2,0,0,138,123,112,12,0,1,0,1
0,1,0,0,0,0,1,1,1,112,99,95,5,1,3,3,0
0,0,1,0,1,1,2,0,0,137,138,222,20,0,2,3,3
1,0,2,2,1,1,2,1,1,86,125,286,1,0,3,1,1
1,0,0,2,1,0,1,1,1,73,69,172,23,0,2,1,1
1,1,0,2,0,1,2,0,0,207,77,100,11,0,3,3,2
1,1,2,0,1,0,2,2,0,150,195,211,14,0,2,3,0
2,1,0,1,1,2,1,2,1,193,209,246,8,0,2,2,2
2,1,0,2,0,0,0,1,1,215,14,215,3,0,1,1,0
0,1,1,0,0,0,1,1,1,213,44,97,4,0,1,3,2
0,1,0,1,0,0,0,2,0,111,167,279,26,0,1,1,0
1,1,1,1,0,1,0,1,1,193,100,271,4,0,2,3,3
2,1,0,2,0,2,1,2,0,63,214,133,0,0,2,3,1
1,1,2,2,1,0,0,1,0,74,74,74,8,0,3,3,0
0,1,1,0,0,2,1,0,1,79,99,0,25,1,3,1,2
1,1,0,1,1,2,2,2,1,196,19,157,13,0,2,0,2
2,0,1,0,0,1,1,2,1,117,90,39,13,0,3,1,3
2,1,2,2,1,1,2,0,1,206,94,293,24,1,1,3,0
2,1,1,0,0,0,2,1,0,48,76,159,24,1,3,2,0
0,1,1,1,0,0,1,2,0,192,55,313,16,0,3,1,2
1,1,0,1,0,0,2,2,0,128,109,13,16,0,1,1,0
0,0,0,0,1,0,1,2,1,12,217,187,25,1,3,0,0
0,1,1,2,0,0,0,2,0,160,115,142,15,1,3,3,1
2,0,0,0,0,2,1,1,1,176,91,125,5,0,3,1,1
0,0,1,0,1,0,0,0,0,195,93,238,20,0,1,3,2
1,1,0,0,0,1,2,0,0,181,157,181,22,0,3,2,3
2,1,2,2,0,0,1,2,1,216,81,295,9,0,2,1,0
2,0,0,0,1,1,2,0,1,10,60,90,23,0,2,0,1
2,1,1,1,0,0,2,2,0,104,194,36,24,1,3,1,3
1,1,1,2,0,1,0,1,1,29,117,96,14,1,1,3,0
1,0,0,2,1,2,0,0,0,177,113,97,16,0,3,2,2
1,0,0,0,0,0,0,1,1,144,186,303,8,0,1,3,0
2,1,2,0,0,1,1,0,1,220,28,138,2,1,1,2,2
0,0,0,2,1,0,2,1,0,87,162,233,27,0,1,3,1
1,0,2,0,0,2,1,0,1,50,81,282,16,0,3,2,0
2,1,0,1,0,2,0,1,0,217,60,48,18,0,3,2,2
0,0,1,2,1,1,2,0,1,186,183,173,11,1,3,3,0
0,1,1,0,1,1,0,1,0,87,78,46,27,0,2,1,2
0,0,0,0,0,0,1,2,0,11,88,307,17,0,3,0,2
1,1,2,1,0,0,1,2,1,107,16,145,5,0,3,3,1
2,1,0,2,1,0,1,0,1,186,56,12,22,0,3,3,0
